area,price,Adress,floor,facade,road_in,car_parking,bedrooms,wc
59 ,17.5,"Phường Yên Hòa, Quận Cầu Giấy",6,6,4,2,4,6
71 ,13.8,"Phuong Khuong Trung, Thanh Xuan",5,6,6,0,4,4
45 ,9.0,"Phuong Khuong Trung, Thanh Xuan",6,5,6,0,4,6
45 ,9.5,"Phường Hàng Bồ, Quận Hoàn Kiếm",0,0,0,0,0,0
51 ,18.0,"Phường Liễu Giai, Quận Ba Đình",5,7,0,1,5,5
64 ,34.0,"Phường Quan Hoa, Quận Cầu Giấy",7,0,0,2,4,7
59 ,16.5,"Phường Vĩnh Phúc, Quận Ba Đình",5,4,0,1,4,0
107 ,59.0,"Phường Dịch Vọng, Quận Cầu Giấy",8,55,50,2,8,10
51 ,11.0,"Phường Thụy Khuê, Quận Tây Hồ",4,0,0,1,3,3
217 ,88.0,"Phường Ô Chợ Dừa, Quận Đống Đa",9,0,0,4,10,10
55 ,0.0,"Phường Thanh Xuân Bắc, Quận Thanh Xuân",5,55,10,2,4,4
42 ,7.0,"Phường Văn Quán, Quận Hà Đông",5,35,8,2,3,4
40 ,6.0,"Phường Quang Trung, Quận Hà Đông",3,5,8,2,4,2
50 ,8.0,"Phường Văn Quán, Quận Hà Đông",5,4,8,2,13,4
48 ,13.0,"Phường Quang Trung, Quận Hà Đông",6,4,10,2,4,5
40 ,8.0,"Phường Quang Trung, Quận Hà Đông",5,4,8,2,4,4
56 ,13.0,"Phường Khương Thượng, Quận Đống Đa",4,4,8,1,3,3
45 ,8.0,"Phường Quang Trung, Quận Hà Đông",4,4,8,2,4,3
83 ,13.0,"Phường La Khê, Quận Hà Đông",4,4,5,2,4,4
50 ,9.2,"Phường La Khê, Quận Hà Đông",5,0,5,2,4,4
40 ,8.0,"Phường Quang Trung, Quận Hà Đông",5,4,8,2,4,4
44 ,7.45,"Phường Quang Trung, Quận Hà Đông",5,4,4,1,4,4
86 ,16.0,"Phường Mộ Lao, Quận Hà Đông",5,45,5,2,5,5
35 ,7.0,"Phường Nhân Chính, Quận Thanh Xuân",5,35,5,2,4,4
50 ,8.0,"Phường Quang Trung, Quận Hà Đông",5,4,5,2,4,4
58 ,0.0,"Phường La Khê, Quận Hà Đông",5,5,10,2,5,4
100 ,19.5,"Phường La Khê, Quận Hà Đông",5,10,8,2,7,5
41 ,8.0,"Phường Vạn Phúc, Quận Hà Đông",5,5,5,2,4,4
48 ,0.0,"Phường La Khê, Quận Hà Đông",6,5,10,2,5,5
34 ,5.0,"Phường Kiến Hưng, Quận Hà Đông",5,45,4,2,4,4
60 ,0.0,"Phường Kiến Hưng, Quận Hà Đông",4,5,8,2,4,3
45 ,7.45,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
37 ,0.0,"Phường Quang Trung, Quận Hà Đông",3,0,10,2,3,3
38 ,9.0,"Phường Văn Quán, Quận Hà Đông",3,4,5,2,2,2
50 ,8.0,"Phường Mộ Lao, Quận Hà Đông",4,4,5,2,4,3
50 ,11.0,"Phường Quang Trung, Quận Hà Đông",5,5,8,2,4,4
55 ,0.0,"Phường Mộ Lao, Quận Hà Đông",6,14,10,2,4,5
67 ,0.0,"Phường Văn Quán, Quận Hà Đông",2,15,8,2,2,1
56 ,12.0,"Phường Mộ Lao, Quận Hà Đông",7,35,0,2,4,5
35 ,7.6,"Phường Văn Quán, Quận Hà Đông",7,0,5,2,4,5
35 ,7.0,"Phường Nhân Chính, Quận Thanh Xuân",5,35,5,2,4,4
38 ,9.0,"Phường Văn Quán, Quận Hà Đông",3,4,5,2,2,2
45 ,7.45,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
40 ,8.0,"Phường Văn Quán, Quận Hà Đông",3,4,5,1,2,3
37 ,0.0,"Phường Quang Trung, Quận Hà Đông",3,0,10,2,3,3
50 ,8.0,"Phường Mộ Lao, Quận Hà Đông",4,4,5,2,4,3
50 ,11.0,"Phường Quang Trung, Quận Hà Đông",5,5,8,2,4,4
55 ,0.0,"Phường Mộ Lao, Quận Hà Đông",6,14,10,2,4,5
60 ,5.6,"Phường Quang Trung, Quận Hà Đông",4,4,5,2,4,3
40 ,8.0,"Phường Văn Quán, Quận Hà Đông",6,35,6,2,4,5
40 ,10.0,"Phường Quang Trung, Quận Hà Đông",4,4,12,2,4,3
42 ,9.0,"Phường Quang Trung, Quận Hà Đông",3,480000019073486,10,2,2,2
68 ,12.5,"Phường Quang Trung, Quận Hà Đông",3,45,5,1,2,2
39 ,12.0,"Phường Quang Trung, Quận Hà Đông",7,0,10,2,4,6
65 ,10.0,"Phường Kiến Hưng, Quận Hà Đông",4,459999990463257,8,1,2,3
45 ,0.0,"Phường Văn Quán, Quận Hà Đông",4,5,4,1,4,3
27 ,7.2,"Phường Cầu Diễn, Quận Nam Từ Liêm",4,4,10,2,2,3
1200 ,350.0,"Phường Cống Vị, Quận Ba Đình",0,38,50,0,0,0
70 ,17.3,"Phường Ô Chợ Dừa, Quận Đống Đa",6,6,20,4,4,6
55 ,16.0,"Phường Trung Liệt, Quận Đống Đa",7,5,20,4,5,6
136 ,39.9,"Phường Bạch Mai, Quận Hai Bà Trưng",9,6,20,3,6,9
55 ,16.0,"Phường Trung Liệt, Quận Đống Đa",7,5,20,4,5,6
130 ,14.2,"Thị Trấn Văn Điển, Huyện Thanh Trì",5,6,15,0,0,0
90 ,9.2,"Phường Yên Sở, Quận Hoàng Mai",2,0,6,2,3,0
60 ,8.4,"Phường Yên Sở, Quận Hoàng Mai",6,42,5,0,0,0
55 ,12.0,"Thị Trấn Văn Điển, Huyện Thanh Trì",5,4,30,3,0,0
66 ,29.5,"Phường Phố Huế, Quận Hai Bà Trưng",4,0,0,0,4,0
120 ,40.5,"Phường Khương Mai, Quận Thanh Xuân",10,5,30,4,4,11
75 ,26.0,"Phường Thanh Lương, Quận Hai Bà Trưng",6,45,20,4,6,8
57 ,32.0,"Phường Ngọc Hà, Quận Ba Đình",5,5,30,4,3,4
63 ,27.0,"Phường Trung Phụng, Quận Đống Đa",5,43,20,0,6,5
73 ,41.9,"Phường Trung Liệt, Quận Đống Đa",4,6,20,4,2,4
81 ,24.0,"Phường Định Công, Quận Hoàng Mai",4,45,20,4,3,4
83 ,56.5,"Phường Cửa Đông, Quận Hoàn Kiếm",8,6,20,4,7,7
86 ,65.0,"Phường Hàng Bông, Quận Hoàn Kiếm",8,43,15,4,11,11
130 ,85.0,"Phường Liễu Giai, Quận Ba Đình",4,9,50,4,4,6
106 ,18.5,"Phường Thịnh Quang, Quận Đống Đa",8,62,3,4,11,11
130 ,65.0,"Phường Bạch Đằng, Quận Hai Bà Trưng",4,6,20,4,6,9
120 ,29.0,", Quận Đống Đa",9,5,20,4,11,11
73 ,16.0,"Phường Mai Dịch, Quận Cầu Giấy",5,9,10,0,6,4
133 ,39.0,"Phường Thượng Đình, Quận Thanh Xuân",1,8,10,0,0,0
60 ,9.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
42 ,8.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
